"Authors","Year","Title","Journal","Doi","URL","Human","No.access","Lat_Deg","Lon_Deg","Location","country"
"Nafea, E",2016,"Relationship between Vegetation and Soil Seed Bank at Protected Versus Unprotected Sites at Coastal Habitats in Libya","CATRINA-THE INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCES","None","https://scholar.google.com/scholar?q=Relationship+between+Vegetation+and+Soil+Seed+Bank+at+Protected+Versus+Unprotected+Sites+at+Coastal+Habitats+in+Libya","JP","",31.1758,16.795,"Coastal zone near Sirte, Libya","Libya"
"Nafea, E",2016,"Relationship between Vegetation and Soil Seed Bank at Protected Versus Unprotected Sites at Coastal Habitats in Libya","CATRINA-THE INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCES","None","https://scholar.google.com/scholar?q=Relationship+between+Vegetation+and+Soil+Seed+Bank+at+Protected+Versus+Unprotected+Sites+at+Coastal+Habitats+in+Libya","JP","",31.1758,16.795,"Coastal zone near Sirte, Libya","Libya"
"Zepeda-Gomez, C; Lot, A; Antonio-Nemiga, X; Manjarrez, J",2015,"EVALUATION OF THE SEED BANKS AND ITS IMPORTANCE IN THE REHABILITATION OF THE WETLAND VEGETATION OF CENTRAL MEXICO","BOTANICAL SCIENCES","None","https://scholar.google.com/scholar?q=EVALUATION+OF+THE+SEED+BANKS+AND+ITS+IMPORTANCE+IN+THE+REHABILITATION+OF+THE+WETLAND+VEGETATION+OF+CENTRAL+MEXICO","JP","",19.1501,-99.5072,"Mexico","Mexico"
"Zepeda-Gomez, C; Lot, A; Antonio-Nemiga, X; Manjarrez, J",2015,"EVALUATION OF THE SEED BANKS AND ITS IMPORTANCE IN THE REHABILITATION OF THE WETLAND VEGETATION OF CENTRAL MEXICO","BOTANICAL SCIENCES","None","https://scholar.google.com/scholar?q=EVALUATION+OF+THE+SEED+BANKS+AND+ITS+IMPORTANCE+IN+THE+REHABILITATION+OF+THE+WETLAND+VEGETATION+OF+CENTRAL+MEXICO","JP","",19.1501,-99.5072,"Mexico","Mexico"
"Rizvi, A; Aziz, S",2015,"SPATIOTEMPORAL SEED BANK FLORA OF PERISTROPHE PANICULATA COMMUNITY IN A SEMI ARID DESERT OF KARACHI, PAKISTAN","PAKISTAN JOURNAL OF BOTANY","None","https://scholar.google.com/scholar?q=SPATIOTEMPORAL+SEED+BANK+FLORA+OF+PERISTROPHE+PANICULATA+COMMUNITY+IN+A+SEMI+ARID+DESERT+OF+KARACHI,+PAKISTAN","AA","",24.942,67.121,"Karachi, Pakistan","Pakistan"
"Medeiros, JX; Silva, GH; Ramos, TM; Oliveira, RB; Nobrega, AMF",2015,"COMPOSITION AND FLORISTIC DIVERSITY OF SEED BANK IN SOIL OF CAATINGA AREA","HOLOS","None","https://scholar.google.com/scholar?q=COMPOSITION+AND+FLORISTIC+DIVERSITY+OF+SEED+BANK+IN+SOIL+OF+CAATINGA+AREA","JP","",-7.0103,-37.3455,"Cuncas experimental site, Patos, Paraiba, Brazil","Brazil"
"Figueiredo, PHA; Miranda, CD; Araujo, FM; Valcarcel, R",2014,"Ex-situ germination of soil seed bank of a secondary forestry in spontaneous","SCIENTIA FORESTALIS","None","https://scholar.google.com/scholar?q=Ex-situ+germination+of+soil+seed+bank+of+a+secondary+forestry+in+spontaneous","JP","",-22.5255,-43.9929,"Pinheiral, Rio de Janeiro, Brazil","Brazil"
"Erfanzadeh, R; Shahbazian, R; Zali, H",2014,"Role of Plant Patches in Preserving Flora from the Soil Seed Bank in an Overgrazed High-mountain Habitat in Northern Iran","JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY","None","https://scholar.google.com/scholar?q=Role+of+Plant+Patches+in+Preserving+Flora+from+the+Soil+Seed+Bank+in+an+Overgrazed+High-mountain+Habitat+in+Northern+Iran","JP","",36.2092,51.3877,"Vaz watershed, Alborz mountains, northern Iran","Iran"
"Erfanzadeh, R; Shahbazian, R; Zali, H",2014,"Role of Plant Patches in Preserving Flora from the Soil Seed Bank in an Overgrazed High-mountain Habitat in Northern Iran","JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY","None","https://scholar.google.com/scholar?q=Role+of+Plant+Patches+in+Preserving+Flora+from+the+Soil+Seed+Bank+in+an+Overgrazed+High-mountain+Habitat+in+Northern+Iran","JP","",36.2092,51.3877,"Vaz watershed, Alborz mountains, northern Iran","Iran"
"Koc, A; Gullap, MK; Erkovan, HI",2013,"THE SOIL SEED BANK PATTERN IN HIGHLAND RANGELANDS OF EASTERN ANATOLIAN REGION OF TURKEY UNDER DIFFERENT GRAZING SYSTEMS","TURKISH JOURNAL OF FIELD CROPS","None","https://scholar.google.com/scholar?q=THE+SOIL+SEED+BANK+PATTERN+IN+HIGHLAND+RANGELANDS+OF+EASTERN+ANATOLIAN+REGION+OF+TURKEY+UNDER+DIFFERENT+GRAZING+SYSTEMS","AA","",40.79083,41.35417,"Erzurum province, Turkey","Turkey"
"Koc, A; Gullap, MK; Erkovan, HI",2013,"THE SOIL SEED BANK PATTERN IN HIGHLAND RANGELANDS OF EASTERN ANATOLIAN REGION OF TURKEY UNDER DIFFERENT GRAZING SYSTEMS","TURKISH JOURNAL OF FIELD CROPS","None","https://scholar.google.com/scholar?q=THE+SOIL+SEED+BANK+PATTERN+IN+HIGHLAND+RANGELANDS+OF+EASTERN+ANATOLIAN+REGION+OF+TURKEY+UNDER+DIFFERENT+GRAZING+SYSTEMS","AA","",40.90308,41.41025,"Erzurum province, Turkey","Turkey"
"Koc, A; Gullap, MK; Erkovan, HI",2013,"THE SOIL SEED BANK PATTERN IN HIGHLAND RANGELANDS OF EASTERN ANATOLIAN REGION OF TURKEY UNDER DIFFERENT GRAZING SYSTEMS","TURKISH JOURNAL OF FIELD CROPS","None","https://scholar.google.com/scholar?q=THE+SOIL+SEED+BANK+PATTERN+IN+HIGHLAND+RANGELANDS+OF+EASTERN+ANATOLIAN+REGION+OF+TURKEY+UNDER+DIFFERENT+GRAZING+SYSTEMS","AA","",40.88925,41.36817,"Erzurum province, Turkey","Turkey"
